year,shows,with_setlist,songs
1992.0,9,9,55
1993.0,1,1,5
1994.0,6,4,49
1995.0,14,8,98
1996.0,64,23,319
1997.0,29,14,246
1998.0,10,10,187
1999.0,17,9,149
2000.0,11,8,118
2001.0,13,8,142
2002.0,44,23,326
2003.0,76,24,347
2004.0,71,32,429
2005.0,74,45,539
2006.0,61,37,386
2007.0,61,54,737
2008.0,61,61,913
2009.0,53,53,924
2010.0,48,46,730
2011.0,62,61,932
2012.0,81,80,1355
2013.0,44,43,690
2014.0,30,28,519
2015.0,65,65,1131
2016.0,54,54,1073
2017.0,88,86,1518
2018.0,36,36,669
2019.0,67,67,1401
2020.0,11,10,110
2021.0,50,50,1032
2022.0,60,60,1369
2023.0,64,64,1352
2024.0,73,73,1453
2025.0,47,47,910
2026.0,23,23,471
